Clave Estado-Municipio,Clave Estado,Clave Municipio,Estado,Municipio,Grado de Rezago Social 2015,Población 2015,Ranking nacional
32-58,32,58,Zacatecas,Santa María de la Paz,Bajo,2656,1855
32-15,32,15,Zacatecas,El Plateado de Joaquín Amaro,Bajo,1160,1566
32-27,32,27,Zacatecas,Melchor Ocampo,Bajo,2938,1564
32-26,32,26,Zacatecas,Mazapil,Medio,17457,1254
32-25,32,25,Zacatecas,Luis Moya,Muy bajo,13292,2106
32-24,32,24,Zacatecas,Loreto,Muy bajo,53441,2113
32-23,32,23,Zacatecas,Juchipila,Muy bajo,12627,2211
32-22,32,22,Zacatecas,Juan Aldama,Bajo,21806,2083
32-21,32,21,Zacatecas,Jiménez del Teul,Medio,4275,889
32-20,32,20,Zacatecas,Jerez,Muy bajo,59125,2205
32-19,32,19,Zacatecas,Jalpa,Muy bajo,24093,2136
32-18,32,18,Zacatecas,Huanusco,Bajo,4084,1985
32-17,32,17,Zacatecas,Guadalupe,Muy bajo,187918,2403
32-16,32,16,Zacatecas,General Pánfilo Natera,Bajo,23192,1768
32-14,32,14,Zacatecas,General Francisco R. Murguía,Bajo,21809,1785
32-29,32,29,Zacatecas,Miguel Auza,Bajo,23827,1830
32-13,32,13,Zacatecas,General Enrique Estrada,Muy bajo,6325,2118
32-12,32,12,Zacatecas,Genaro Codina,Medio,8185,1335
32-11,32,11,Zacatecas,Trinidad García de la Cadena,Bajo,2884,2071
32-10,32,10,Zacatecas,Fresnillo,Muy bajo,230865,2153
32-9,32,9,Zacatecas,Chalchihuites,Bajo,11416,2043
32-8,32,8,Zacatecas,Cuauhtémoc,Bajo,12590,1712
32-7,32,7,Zacatecas,Concepción del Oro,Muy bajo,12944,2187
32-6,32,6,Zacatecas,Cañitas de Felipe Pescador,Bajo,8393,1898
32-5,32,5,Zacatecas,Calera,Muy bajo,45204,2218
32-3,32,3,Zacatecas,Atolinga,Bajo,2427,1746
32-2,32,2,Zacatecas,Apulco,Bajo,4738,1633
32-1,32,1,Zacatecas,Apozol,Bajo,6086,1892
32-28,32,28,Zacatecas,Mezquital del Oro,Bajo,2484,1565
32-4,32,4,Zacatecas,Benito Juárez,Bajo,3990,1890
32-30,32,30,Zacatecas,Momax,Bajo,2404,2058
32-45,32,45,Zacatecas,Tepechitlán,Bajo,8855,1786
32-31,32,31,Zacatecas,Monte Escobedo,Bajo,9129,1850
32-57,32,57,Zacatecas,Trancoso,Bajo,19413,1873
